epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,441.566,1.27374,1.12438,1.17506,0.53618,0.3788,0.41693,0.13826,2.71014,1.77736,2.16228,0.000665052,0.000665052,0.000665052
2,1406.66,1.35083,0.98963,1.22383,0.29257,0.20427,0.1677,0.04404,3.05866,2.43863,2.40432,0.00127898,0.00127898,0.00127898
3,1614,1.34284,0.96765,1.23588,0.35678,0.35941,0.28137,0.07587,2.93937,1.92172,2.51666,0.00184011,0.00184011,0.00184011
4,1835.86,1.3147,0.92642,1.23171,0.35376,0.34906,0.27018,0.07985,2.83008,1.87739,2.32134,0.0017624,0.0017624,0.0017624
5,2709.28,1.26445,0.86792,1.19571,0.39375,0.29929,0.3006,0.08157,2.98039,1.92313,2.31986,0.0016832,0.0016832,0.0016832
6,3164.81,1.21619,0.82318,1.17667,0.31164,0.17065,0.17024,0.04815,2.82589,3.0141,2.2861,0.001604,0.001604,0.001604
7,3815.83,1.18213,0.79858,1.15661,0.44839,0.37727,0.38446,0.13367,2.64002,1.76613,2.04062,0.0015248,0.0015248,0.0015248
8,4216.92,1.17269,0.77655,1.1484,0.39982,0.30705,0.2865,0.0694,3.11308,2.02146,2.30577,0.0014456,0.0014456,0.0014456
9,4401.06,1.1427,0.75507,1.14116,0.43337,0.43956,0.38744,0.12244,2.74236,1.70665,2.30849,0.0013664,0.0013664,0.0013664
10,4592.2,1.12102,0.728,1.12749,0.51399,0.39754,0.39037,0.11441,2.85088,1.80803,2.31972,0.0012872,0.0012872,0.0012872
11,5041.39,1.09977,0.70978,1.11592,0.35359,0.25856,0.23931,0.07377,2.87666,2.55947,2.32578,0.001208,0.001208,0.001208
12,5427.95,1.07845,0.69823,1.10737,0.40718,0.29347,0.27946,0.06952,2.99724,2.26582,2.4387,0.0011288,0.0011288,0.0011288
13,5637.1,1.072,0.68939,1.10388,0.41337,0.41694,0.36314,0.1049,2.73527,1.87972,2.19273,0.0010496,0.0010496,0.0010496
14,6087.64,1.05338,0.67081,1.09348,0.47777,0.42343,0.41318,0.135,2.62586,1.73143,2.1217,0.0009704,0.0009704,0.0009704
15,6684.13,1.03563,0.6587,1.08414,0.51506,0.40465,0.41281,0.12441,2.72732,1.85449,2.1323,0.0008912,0.0008912,0.0008912
16,6896.13,0.99848,0.62004,1.08599,0.45579,0.36134,0.36757,0.11072,2.81255,1.84844,2.25271,0.000812,0.000812,0.000812
17,7110.86,0.97824,0.60362,1.08011,0.50129,0.41194,0.4203,0.12418,2.81362,1.79599,2.1859,0.0007328,0.0007328,0.0007328
18,7346.78,0.96456,0.59068,1.06672,0.47718,0.39431,0.39444,0.13194,2.78477,1.74786,2.19462,0.0006536,0.0006536,0.0006536
19,7905.88,0.9516,0.57829,1.05666,0.48121,0.43568,0.42035,0.14146,2.65733,1.78162,2.13634,0.0005744,0.0005744,0.0005744
20,8461.18,0.93603,0.56737,1.0483,0.50919,0.41176,0.4108,0.13471,2.75627,1.86789,2.1277,0.0004952,0.0004952,0.0004952
21,8946.68,0.91154,0.55605,1.04013,0.43106,0.42857,0.36745,0.11694,2.82376,1.84504,2.26749,0.000416,0.000416,0.000416
22,9506.05,0.90099,0.54101,1.0351,0.48794,0.39237,0.40125,0.12461,2.827,1.87839,2.20236,0.0003368,0.0003368,0.0003368
23,9993.14,0.88731,0.52934,1.02807,0.53421,0.39302,0.42687,0.14371,2.75721,1.88817,2.20105,0.0002576,0.0002576,0.0002576
24,10074.2,0.86951,0.51784,1.01664,0.49216,0.38074,0.38271,0.12377,2.81999,1.94978,2.23811,0.0001784,0.0001784,0.0001784
25,10155.5,0.8595,0.50864,1.01322,0.51253,0.38785,0.39773,0.12827,2.80682,1.91096,2.24265,9.92e-05,9.92e-05,9.92e-05
